Station,Example Station
Latitude,-35.31
Longitude,148.06
1924-07-01,36.9
1924-08-01,113.1
1924-09-01,84.3
1924-10-01,76.6
1924-11-01,136.2
1924-12-01,35.5
1925-01-01,117.6
1925-02-01,85
1925-03-01,34.8
1925-04-01,6.6
1925-05-01,132.5
1925-06-01,77.6
1925-07-01,62.7
1925-08-01,58.5
1925-09-01,57.6
1925-10-01,27.9
1925-11-01,78.3
1925-12-01,0
1926-01-01,6.9
1926-02-01,1
1926-03-01,70.9
1926-04-01,155.9
1926-05-01,110.4
1926-06-01,77.7
1926-07-01,90.2
1926-08-01,84.1
1926-09-01,58.2
1926-10-01,76.9
1926-11-01,23.9
1926-12-01,47
1927-01-01,28.7
1927-02-01,8.1
1927-03-01,10
1927-04-01,18.3
1927-05-01,89.8
1927-06-01,20.1
1927-07-01,69.9
1927-08-01,95.7
1927-09-01,23.7
1927-10-01,102.9
1927-11-01,33.5
1927-12-01,13.7
1928-01-01,45.7
1928-02-01,97.3
1928-03-01,79.3
1928-04-01,54.3
1928-05-01,60.4
1928-06-01,25.8
1928-07-01,70.8
1928-08-01,11.7
1928-09-01,33.3
1928-10-01,73.9
1928-11-01,2.5
1928-12-01,5.9
1929-01-01,1
1929-02-01,18.8
1929-03-01,40.9
1929-04-01,33.3
1929-05-01,15.4
1929-06-01,69.8
1929-07-01,24.8
1929-08-01,92.6
1929-09-01,79.6
1929-10-01,17.3
1929-11-01,46.5
1929-12-01,49.8
1930-01-01,50.5
1930-02-01,55.4
1930-03-01,21.8
1930-04-01,34.5
1930-05-01,69.3
1930-06-01,34.9
1930-07-01,65.4
1930-08-01,115
1930-09-01,46.5
1930-10-01,127.3
1930-11-01,55.9
1930-12-01,74.4
1931-01-01,39.2
1931-02-01,11.7
1931-03-01,198.7
1931-04-01,73.4
1931-05-01,205.8
1931-06-01,292.2
1931-07-01,73.9
1931-08-01,85.9
1931-09-01,51.1
1931-10-01,23.4
1931-11-01,72.1
1931-12-01,11.7
1932-01-01,8.7
1932-02-01,17.4
1932-03-01,205.5
1932-04-01,130.9
1932-05-01,10.9
1932-06-01,118.2
1932-07-01,72.5
1932-08-01,145.6
1932-09-01,43.2
1932-10-01,47.2
1932-11-01,34.9
1932-12-01,41.2
1933-01-01,34.1
1933-02-01,0
1933-03-01,25.2
1933-04-01,35.6
1933-05-01,86.9
1933-06-01,57.7
1933-07-01,100.7
1933-08-01,44.9
1933-09-01,125.9
1933-10-01,22.3
1933-11-01,57.8
1933-12-01,136.6
1934-01-01,125.4
1934-02-01,135.6
1934-03-01,16
1934-04-01,79.8
1934-05-01,0
