,dates,Lake_City,Camden,Hillsboro,Phoenix_Area,Marshall,Subiaco,Hobart_Municipal_AP,Tucumcari_4_NE_,Death_Valley_National_Park,Hopewell,Neosho,Las_Animas,Blanding,Yosemite_National_Park_Area,Saluda,Clarksdale,Portales,Springerville,Ojai
125,1929-04-01,4.28,3.4,2.67,0.43,2.65,4.65,2.81,0.48,0.0,2.2,9.12,1.45,0.59,4.44,,3.26,0.42,0.45,1.7
126,1929-05-01,4.04,3.55,6.75,0.01,7.0,5.27,5.46,2.83,0.0,3.26,8.65,2.36,0.48,0.57,,6.34,2.59,0.69,0.0005
127,1929-06-01,6.05,0.02,0.22,0.0005,2.92,6.39,2.72,0.38,0.0,8.63,8.5,0.11,0.0,3.14,5.81,2.89,1.87,,0.21
128,1929-07-01,6.46,2.5,1.03,0.79,5.17,2.78,1.75,0.7,0.0,2.69,3.35,2.63,1.05,0.33,6.09,2.97,1.52,,0.0
129,1929-08-01,6.84,0.36,0.75,2.09,2.32,0.14,0.61,1.9,0.0,4.28,0.32,3.5,2.21,0.0005,1.17,0.17,2.75,5.8,0.0
130,1929-09-01,7.59,1.53,5.98,0.19,2.95,2.87,5.47,0.67,0.0,2.08,2.72,0.8,1.92,1.5,6.77,2.75,0.96,1.63,0.07
131,1929-10-01,0.95,1.64,1.64,0.09,5.14,5.44,2.24,0.67,0.0,7.62,5.34,0.13,0.21,0.01,11.79,4.86,1.52,1.09,0.0005
132,1929-11-01,0.7,5.27,3.72,0.11,2.75,2.29,1.61,1.32,0.0,1.99,1.74,0.45,0.0,0.0,5.45,5.04,,1.06,0.0
133,1929-12-01,4.37,4.23,4.86,0.0005,1.3,3.78,0.12,0.1,0.0,2.27,0.98,0.0,0.0005,3.4,4.89,3.18,0.0005,0.02,0.0
134,1930-01-01,,11.92,1.55,1.69,2.15,6.48,,0.11,0.4,2.69,5.32,0.0,1.54,7.1,6.1,9.18,0.23,1.2,5.78
135,1930-02-01,2.72,4.73,3.66,0.19,1.85,2.34,0.0,0.0005,0.0,0.97,1.22,0.0,0.73,4.35,0.66,,0.0,0.15,1.53
136,1930-03-01,9.81,3.12,2.42,1.77,2.45,,0.9,0.38,0.65,0.74,0.71,0.0,0.71,3.92,3.2,,0.16,0.6,5.4
137,1930-04-01,1.62,0.55,3.82,0.2,2.5,2.21,4.03,0.12,0.0,3.22,6.35,,1.65,3.54,,0.79,,0.0,0.29
138,1930-05-01,1.53,17.68,7.71,1.31,3.79,,4.08,0.43,0.4,3.6,6.46,2.3,0.39,2.39,,11.53,,0.57,0.92
139,1930-06-01,7.4,1.09,1.35,0.16,2.2,,3.72,3.49,0.0,4.91,6.65,1.52,0.4,0.32,,0.0,,0.15,0.0
140,1930-07-01,4.23,0.06,0.38,0.68,2.88,,0.55,2.78,0.0,2.6,2.56,3.34,0.66,0.0,3.96,0.75,,3.65,0.0
141,1930-08-01,3.04,3.53,0.93,0.59,3.45,0.73,0.6,1.41,0.0005,0.94,2.18,2.25,1.82,0.0005,0.86,1.33,2.2,1.15,0.0005
142,1930-09-01,7.9,3.77,4.07,0.51,5.45,6.65,1.36,0.61,0.0,0.67,12.87,,2.55,1.06,9.11,4.14,4.06,0.5,0.09
143,1930-10-01,0.61,5.48,6.83,0.16,2.2,3.44,4.4,2.44,0.0,1.67,4.79,2.1,0.34,0.52,2.5,3.55,1.47,0.0,0.02
144,1930-11-01,2.79,4.9,3.46,0.51,2.64,4.19,1.56,0.92,0.0,1.41,4.08,,1.9,4.55,4.4,3.59,0.55,1.03,2.46
145,1930-12-01,3.95,4.84,2.64,0.0005,1.2,1.32,0.99,0.19,0.0,2.39,2.07,0.17,0.0,0.23,3.6,3.53,0.9,0.3,0.0
146,1931-01-01,3.2,1.76,3.28,0.02,1.46,0.43,0.81,0.62,0.0005,0.89,0.73,0.0,,3.4,2.75,2.49,0.33,0.1,6.07
147,1931-02-01,2.99,4.33,3.53,3.71,1.17,6.25,1.24,1.81,0.57,1.15,2.77,0.74,1.47,3.17,2.1,7.07,0.14,0.5,3.21
148,1931-03-01,6.51,4.43,3.91,0.07,1.28,3.66,2.8,1.04,0.0,3.24,2.12,0.18,0.8,1.88,3.25,4.9,0.3,0.25,0.0
149,1931-04-01,2.1,1.23,2.17,0.4,4.26,4.4,2.32,2.57,0.03,4.26,4.95,0.21,0.73,2.51,2.66,2.15,2.27,1.0,3.12
150,1931-05-01,3.47,1.58,3.25,0.0005,1.82,3.77,2.99,2.54,0.0,6.28,3.28,2.59,0.32,2.1,4.75,4.04,1.93,0.4,1.65
151,1931-06-01,3.62,3.8,1.27,0.02,1.51,2.01,1.42,0.17,0.1,5.65,1.93,0.0,0.39,1.01,1.83,3.71,0.13,1.14,0.0
152,1931-07-01,12.26,9.43,0.83,0.02,8.99,5.86,1.3,3.32,0.0,3.79,4.62,1.1,0.42,0.0,3.63,7.87,4.64,2.84,0.0005
153,1931-08-01,4.37,3.61,0.13,1.7,5.41,6.61,1.31,2.87,0.05,8.78,6.76,0.43,0.56,0.06,2.19,1.22,3.52,4.02,0.76
